KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 32
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 100.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.001333              1         1.0000            2.2          0.208
           2000       0.001847              2         1.0000            4.6          0.212
           3000       0.004094              3         0.9993            7.1          0.054
           4000       0.005057              5         0.9995            9.6          0.126
           5000       0.008978              7         0.9996           12.0          0.172
           6000       0.010019              7         0.9997           14.6          0.171
           7000       0.011042              8         0.9997           17.1          0.188
           8000       0.012733              9         0.9996           19.6          0.203
           9000       0.013435             10         0.9997           22.0          0.210
          10000       0.013952             10         0.9997           24.5          0.215
          11000       0.014597             11         0.9997           27.0          0.203
          12000       0.017384             12         0.9996           29.4          0.202
          13000       0.019769             15         0.9995           31.9          0.201
          14000       0.022303             15         0.9995           34.3          0.217
          15000       0.024524             17         0.9995           36.8          0.227
          16000       0.025221             18         0.9995           39.3          0.214
          17000       0.028734             21         0.9994           41.7          0.227
          18000       0.029836             23         0.9994           44.2          0.217
          19000       0.030950             25         0.9994           46.6          0.215
          20000       0.031724             27         0.9994           49.0          0.227
          21000       0.032837             28         0.9995           51.5          0.229
          22000       0.034546             29         0.9995           53.9          0.244
          23000       0.036976             31         0.9993           56.3          0.244
          24000       0.040862             35         0.9991           58.7          0.333
          25000       0.044321             38         0.9991           61.1          0.352
