KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 32
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.001492              2         0.9990            2.9          0.851
           2000       0.002013              2         0.9995            5.7          0.851
           3000       0.002535              2         0.9997            8.2          0.851
           4000       0.003087              3         0.9997           10.7          0.851
           5000       0.004098              5         0.9998           13.4          0.851
           6000       0.006703              7         0.9997           16.0          0.851
           7000       0.007366              7         0.9997           18.5          0.851
           8000       0.008727             10         0.9997           21.1          0.851
           9000       0.010333             10         0.9997           23.4          0.851
          10000       0.011165             10         0.9997           26.2          0.852
          11000       0.011907             11         0.9997           28.6          0.852
          12000       0.014185             11         0.9997           31.2          0.851
          13000       0.016162             14         0.9996           33.7          0.851
          14000       0.018565             17         0.9995           36.3          0.852
          15000       0.019843             21         0.9995           38.8          0.852
          16000       0.020507             23         0.9995           41.4          0.852
          17000       0.022471             28         0.9994           43.9          0.852
          18000       0.027012             30         0.9993           46.4          0.851
          19000       0.030342             32         0.9992           48.9          0.852
          20000       0.033028             36         0.9991           51.6          0.853
          21000       0.034407             37         0.9991           54.2          0.855
          22000       0.036501             38         0.9991           56.8          0.854
          23000       0.039306             40         0.9991           59.4          0.853
          24000       0.041013             42         0.9991           61.8          0.857
          25000       0.043063             43         0.9991           64.5          0.856
          26000       0.044507             45         0.9991           67.2          0.854
          27000       0.047776             51         0.9990           69.7          0.852
          28000       0.050271             53         0.9989           72.1          0.854
          29000       0.052161             57         0.9989           74.7          0.857
          30000       0.055485             60         0.9988           77.4          0.923
          31000       0.058094             63         0.9987           79.9          0.934
          32000       0.059599             65         0.9987           82.5          0.895
          33000       0.062650             66         0.9985           85.0          0.895
          34000       0.064897             70         0.9985           87.5          0.877
          35000       0.067905             71         0.9984           90.2          0.860
          36000       0.071424             78         0.9984           92.7          0.862
          37000       0.074922             83         0.9983           95.3          0.858
          38000       0.078025             89         0.9983           97.8          0.865
          39000       0.082041             93         0.9982          100.3          0.872
          40000       0.085181             96         0.9981          102.9          0.871
          41000       0.088569             97         0.9981          105.4          0.898
          42000       0.091982             98         0.9981          107.8          0.872
          43000       0.096228            101         0.9980          110.4          0.907
          44000       0.100303            102         0.9979          112.9          0.924
          45000       0.104125            107         0.9978          115.5          0.879
          46000       0.107138            110         0.9978          117.9          0.881
          47000       0.110824            112         0.9977          120.4          0.878
          48000       0.113653            115         0.9977          123.0          0.881
          49000       0.116521            117         0.9977          125.7          0.879
