KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.160
                      temperature [K] = 700
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.000772              3         1.0000            1.9          0.054
           2000       0.001144              4         1.0000            4.0          0.055
           3000       0.001255              4         1.0000            6.0          0.054
           4000       0.001337              4         1.0000            8.0          0.056
           5000       0.001561              4         1.0000           10.1          0.054
           6000       0.001627              4         1.0000           12.1          0.054
           7000       0.001693              4         1.0000           14.2          0.025
           8000       0.001752              4         1.0000           16.2          0.054
           9000       0.001917              4         1.0000           18.3          0.054
          10000       0.002017              4         1.0000           20.3          0.094
          11000       0.002425              4         1.0000           22.3          0.095
          12000       0.002564              4         1.0000           24.3          0.058
          13000       0.002642              4         1.0000           26.4          0.054
          14000       0.002723              4         1.0000           28.4          0.054
          15000       0.002805              4         1.0000           30.4          0.054
          16000       0.002972              4         1.0000           32.5          0.054
          17000       0.003054              4         1.0000           34.5          0.054
          18000       0.003350              5         1.0000           36.5          0.096
          19000       0.003497              5         1.0000           38.6          0.126
          20000       0.003869              6         1.0000           40.5          0.097
          21000       0.004248              6         1.0000           42.5          0.094
          22000       0.004664              6         1.0000           44.5          0.096
          23000       0.005044              7         1.0000           46.5          0.125
          24000       0.005522              7         1.0000           48.5          0.056
          25000       0.005759              8         1.0000           50.5          0.126
          26000       0.006296              9         0.9999           52.5          0.126
          27000       0.006427             10         0.9999           54.5          0.096
          28000       0.006658             10         0.9999           56.5          0.125
          29000       0.007081             10         0.9999           58.5          0.203
          30000       0.007194             10         0.9999           60.5          0.201
          31000       0.007347             10         0.9999           62.5          0.214
          32000       0.007472             10         0.9999           64.5          0.203
          33000       0.007632             10         0.9999           66.6          0.200
          34000       0.007748             11         0.9999           68.6          0.202
          35000       0.007853             11         0.9999           70.6          0.208
          36000       0.008097             11         0.9999           72.6          0.211
          37000       0.008484             12         0.9999           74.6          0.214
          38000       0.008736             13         0.9999           76.6          0.232
          39000       0.008834             13         0.9999           78.6          0.230
          40000       0.009094             13         0.9999           80.5          0.237
          41000       0.009355             13         0.9999           82.5          0.238
          42000       0.009598             14         0.9999           84.5          0.232
          43000       0.010122             14         0.9999           86.4          0.201
          44000       0.010465             16         0.9999           88.4          0.206
          45000       0.010789             18         0.9998           90.3          0.188
          46000       0.011147             18         0.9998           92.2          0.189
          47000       0.011322             18         0.9999           94.2          0.153
          48000       0.011633             19         0.9998           96.1          0.187
          49000       0.011979             21         0.9998           98.1          0.187
          50000       0.012097             21         0.9998          100.0          0.201
          51000       0.012423             22         0.9998          102.0          0.199
          52000       0.012769             23         0.9998          103.9          0.212
          53000       0.013084             24         0.9998          105.8          0.201
          54000       0.013357             24         0.9998          107.7          0.201
          55000       0.013650             24         0.9998          109.6          0.249
          56000       0.013799             24         0.9998          111.6          0.211
          57000       0.014143             24         0.9998          113.5          0.211
          58000       0.014521             24         0.9998          115.4          0.209
