KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.002021              1         1.0000            1.0          0.025
           2000       0.002933              2         1.0000            2.1          0.025
           3000       0.003455              2         1.0000            3.2          0.025
           4000       0.007329              5         1.0000            4.3          0.094
           5000       0.012232              7         1.0000            5.5          0.126
           6000       0.012976              8         1.0000            6.6          0.126
           7000       0.013868              8         1.0000            7.7          0.150
           8000       0.014380              8         1.0000            8.8          0.151
           9000       0.015132              9         1.0000            9.9          0.171
          10000       0.015414             10         1.0000           10.9          0.187
          11000       0.016466             10         1.0000           12.0          0.186
          12000       0.018136             10         1.0000           13.2          0.172
          13000       0.019046             10         1.0000           14.3          0.151
          14000       0.019620             10         1.0000           15.4          0.150
          15000       0.021385             11         1.0000           16.5          0.170
          16000       0.022180             14         1.0000           17.6          0.172
          17000       0.025877             17         1.0000           18.7          0.172
          18000       0.027473             18         1.0000           19.7          0.169
          19000       0.029537             20         1.0000           20.8          0.171
          20000       0.030557             20         1.0000           22.0          0.170
          21000       0.031393             22         1.0000           23.1          0.171
          22000       0.033118             23         1.0000           24.2          0.189
          23000       0.036124             25         1.0000           25.3          0.212
          24000       0.040797             27         0.9999           26.4          0.220
          25000       0.041726             29         0.9999           27.5          0.232
          26000       0.042590             31         0.9999           28.6          0.238
          27000       0.044000             33         0.9999           29.7          0.239
          28000       0.046689             36         0.9999           30.8          0.238
          29000       0.049111             40         0.9999           31.9          0.231
          30000       0.053699             44         0.9999           32.9          0.231
          31000       0.055237             45         0.9999           34.0          0.233
          32000       0.056003             45         0.9999           35.1          0.232
          33000       0.058185             48         0.9999           36.2          0.232
          34000       0.061765             51         0.9999           37.3          0.233
          35000       0.063842             53         0.9998           38.4          0.241
          36000       0.067800             59         0.9998           39.4          0.241
          37000       0.071210             63         0.9998           40.5          0.242
          38000       0.074245             63         0.9998           41.5          0.243
          39000       0.075470             63         0.9998           42.6          0.237
          40000       0.078201             65         0.9998           43.6          0.238
          41000       0.082592             71         0.9997           44.6          0.265
          42000       0.086449             73         0.9996           45.7          0.265
          43000       0.089289             75         0.9996           46.8          0.266
          44000       0.091679             79         0.9996           47.9          0.281
          45000       0.094676             84         0.9995           48.9          0.261
          46000       0.097489             88         0.9995           50.0          0.267
          47000       0.101400             91         0.9995           51.0          0.285
          48000       0.104974             91         0.9994           52.1          0.287
          49000       0.108893             98         0.9994           53.1          0.285
          50000       0.112789            102         0.9994           54.1          0.288
          51000       0.115880            104         0.9994           55.1          0.288
          52000       0.118827            106         0.9994           56.2          0.298
          53000       0.122554            109         0.9994           57.2          0.352
          54000       0.126149            113         0.9994           58.3          0.315
          55000       0.126939            113         0.9994           59.3          0.303
          56000       0.129594            114         0.9994           60.4          0.302
          57000       0.133280            117         0.9994           61.4          0.300
          58000       0.135779            120         0.9994           62.5          0.297
          59000       0.138690            124         0.9994           63.5          0.306
          60000       0.141667            127         0.9994           64.6          0.394
          61000       0.143997            127         0.9994           65.6          0.335
          62000       0.148178            132         0.9994           66.6          0.326
          63000       0.151191            135         0.9994           67.7          0.340
          64000       0.156350            140         0.9993           68.7          0.403
          65000       0.160065            141         0.9993           69.7          0.400
          66000       0.164218            144         0.9993           70.7          0.380
          67000       0.167283            149         0.9993           71.7          0.368
          68000       0.169648            150         0.9993           72.8          0.369
          69000       0.172783            152         0.9993           73.8          0.303
          70000       0.174473            157         0.9993           74.8          0.317
          71000       0.177379            164         0.9993           75.9          0.356
          72000       0.178923            166         0.9993           76.9          0.370
          73000       0.181123            168         0.9993           77.9          0.456
          74000       0.184515            170         0.9992           78.9          0.355
          75000       0.186305            173         0.9992           79.9          0.340
          76000       0.189138            173         0.9992           80.9          0.362
          77000       0.192018            176         0.9992           81.9          0.341
          78000       0.195655            179         0.9992           82.9          0.359
          79000       0.199663            186         0.9992           83.9          0.376
          80000       0.201839            187         0.9992           84.9          0.395
          81000       0.204340            188         0.9992           86.0          0.472
          82000       0.207301            191         0.9992           87.0          0.398
          83000       0.211170            193         0.9992           88.0          0.408
          84000       0.215067            196         0.9992           89.0          0.412
          85000       0.217971            200         0.9992           90.0          0.364
          86000       0.220709            206         0.9992           91.0          0.355
          87000       0.223747            210         0.9992           92.0          0.365
          88000       0.226845            213         0.9992           93.0          0.371
          89000       0.230001            217         0.9992           94.0          0.415
          90000       0.233611            221         0.9992           94.9          0.403
          91000       0.235595            224         0.9992           96.0          0.467
          92000       0.239145            229         0.9992           96.9          0.369
          93000       0.241875            231         0.9991           97.9          0.406
          94000       0.244379            236         0.9991           98.9          0.372
          95000       0.247370            238         0.9991           99.9          0.403
          96000       0.251452            242         0.9991          100.9          0.443
          97000       0.253895            248         0.9991          101.9          0.407
          98000       0.257627            253         0.9992          102.9          0.397
          99000       0.259859            256         0.9992          104.0          0.458
         100000       0.263482            259         0.9991          105.0          0.460
         101000       0.266862            262         0.9991          106.0          0.372
         102000       0.270785            269         0.9991          107.0          0.477
         103000       0.275521            271         0.9991          108.1          0.486
         104000       0.278611            272         0.9990          109.1          0.506
         105000       0.282278            277         0.9990          110.1          0.453
         106000       0.285539            280         0.9990          111.1          0.490
         107000       0.288342            284         0.9990          112.1          0.452
         108000       0.291056            287         0.9990          113.2          0.500
         109000       0.292822            291         0.9990          114.2          0.501
         110000       0.296619            292         0.9990          115.2          0.500
         111000       0.300624            296         0.9990          116.3          0.407
         112000       0.303075            300         0.9990          117.3          0.508
         113000       0.306739            303         0.9990          118.3          0.406
         114000       0.309302            305         0.9990          119.3          0.402
         115000       0.312676            309         0.9990          120.4          0.363
         116000       0.314749            310         0.9990          121.4          0.388
         117000       0.318005            314         0.9990          122.4          0.408
         118000       0.321234            316         0.9989          123.5          0.499
         119000       0.324598            318         0.9989          124.5          0.497
         120000       0.328297            323         0.9989          125.5          0.497
         121000       0.330666            324         0.9989          126.5          0.480
         122000       0.333581            328         0.9989          127.5          0.429
         123000       0.337755            332         0.9989          128.5          0.421
         124000       0.340045            335         0.9989          129.5          0.451
         125000       0.342510            337         0.9989          130.5          0.418
         126000       0.346652            338         0.9989          131.5          0.470
         127000       0.350334            342         0.9989          132.5          0.393
         128000       0.352539            343         0.9989          133.5          0.472
