KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.001828              2         1.0000            0.9          0.712
           2000       0.002282              3         1.0000            1.9          0.712
           3000       0.002761              4         1.0000            3.0          0.712
           4000       0.003136              4         1.0000            4.1          0.711
           5000       0.005390              5         1.0000            5.1          0.712
           6000       0.008172              7         1.0000            6.2          0.712
           7000       0.009584             10         1.0000            7.3          0.712
           8000       0.013548             10         1.0000            8.4          0.713
           9000       0.016139             11         0.9999            9.4          0.712
          10000       0.016654             11         0.9999           10.5          0.713
          11000       0.017597             11         0.9999           11.6          0.713
          12000       0.019313             12         0.9999           12.5          0.713
          13000       0.019927             14         0.9999           13.6          0.713
          14000       0.020568             14         0.9999           14.6          0.713
          15000       0.021967             16         0.9999           15.7          0.713
          16000       0.023895             18         0.9999           16.7          0.713
          17000       0.026257             21         0.9999           17.7          0.714
          18000       0.027004             23         0.9999           18.8          0.714
          19000       0.027711             24         0.9999           19.8          0.714
          20000       0.030198             25         0.9999           20.8          0.714
          21000       0.033367             27         1.0000           21.8          0.713
          22000       0.036349             31         1.0000           22.8          0.713
          23000       0.039967             34         1.0000           23.8          0.715
          24000       0.044014             40         1.0000           24.8          0.714
          25000       0.048326             43         1.0000           25.8          0.714
          26000       0.050121             45         1.0000           26.8          0.714
          27000       0.052444             47         0.9999           27.8          0.714
          28000       0.055552             48         0.9999           28.8          0.714
          29000       0.058048             49         0.9999           29.8          0.715
          30000       0.059916             51         0.9999           30.8          0.715
          31000       0.060987             53         0.9999           31.8          0.715
          32000       0.064507             59         0.9999           32.8          0.715
          33000       0.068480             64         0.9999           33.8          0.716
          34000       0.071923             70         0.9999           34.8          0.718
          35000       0.074454             75         0.9999           35.8          0.719
          36000       0.076458             76         0.9999           36.8          0.717
          37000       0.079443             80         0.9998           37.8          0.716
          38000       0.081813             83         0.9998           38.8          0.718
          39000       0.085339             84         0.9998           39.8          0.724
          40000       0.088482             89         0.9998           40.9          0.725
          41000       0.092063             92         0.9998           41.9          0.727
          42000       0.094193             94         0.9998           42.8          0.728
          43000       0.098716             99         0.9998           43.8          0.730
          44000       0.102472            101         0.9997           44.8          0.733
          45000       0.106109            104         0.9997           45.8          0.734
          46000       0.109608            106         0.9997           46.8          0.736
          47000       0.112312            110         0.9997           47.8          0.737
          48000       0.113946            112         0.9997           48.8          0.736
