KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.001827              2         1.0000            0.8          0.819
           2000       0.002428              3         1.0000            1.8          0.819
           3000       0.002956              4         1.0000            2.9          0.819
           4000       0.005316              8         1.0000            3.9          0.820
           5000       0.007062             10         1.0000            5.0          0.820
           6000       0.007946             12         1.0000            6.0          0.821
           7000       0.008798             13         1.0000            7.0          0.820
           8000       0.009126             15         1.0000            8.1          0.821
           9000       0.009888             15         1.0000            9.1          0.822
          10000       0.010405             15         1.0000           10.2          0.821
          11000       0.013589             17         1.0000           11.1          0.822
          12000       0.015458             19         1.0000           12.2          0.822
          13000       0.016434             20         1.0000           13.2          0.823
          14000       0.021087             23         0.9999           14.2          0.822
          15000       0.021814             23         0.9999           15.3          0.821
          16000       0.022874             25         0.9999           16.4          0.822
          17000       0.024198             26         0.9999           17.4          0.823
          18000       0.027004             28         0.9999           18.5          0.823
          19000       0.029748             32         0.9999           19.5          0.822
          20000       0.032418             34         0.9999           20.4          0.822
          21000       0.036194             37         1.0000           21.4          0.821
          22000       0.037637             38         1.0000           22.5          0.821
          23000       0.039414             43         1.0000           23.5          0.819
          24000       0.041874             47         0.9999           24.5          0.817
          25000       0.046004             51         0.9999           25.5          0.818
          26000       0.051094             60         0.9998           26.4          0.818
          27000       0.051686             62         0.9998           27.5          0.816
          28000       0.054852             67         0.9997           28.5          0.815
          29000       0.058392             68         0.9996           29.5          0.816
          30000       0.061341             68         0.9996           30.5          0.816
          31000       0.064642             71         0.9996           31.5          0.816
          32000       0.065953             72         0.9996           32.5          0.816
          33000       0.067960             74         0.9996           33.4          0.816
          34000       0.070969             75         0.9996           34.5          0.815
          35000       0.073914             78         0.9996           35.4          0.815
          36000       0.076445             82         0.9996           36.4          0.814
          37000       0.080467             84         0.9996           37.3          0.815
          38000       0.083424             86         0.9996           38.3          0.815
          39000       0.084451             87         0.9996           39.3          0.815
          40000       0.086797             88         0.9996           40.3          0.817
          41000       0.089993             93         0.9996           41.3          0.817
          42000       0.093374             95         0.9995           42.3          0.817
          43000       0.095331             99         0.9995           43.3          0.817
          44000       0.097156            101         0.9995           44.4          0.818
          45000       0.100657            106         0.9995           45.3          0.819
          46000       0.103608            108         0.9995           46.3          0.819
          47000       0.107424            109         0.9995           47.3          0.818
          48000       0.110702            114         0.9995           48.2          0.816
          49000       0.113002            116         0.9995           49.2          0.816
          50000       0.115610            119         0.9995           50.2          0.816
          51000       0.117853            120         0.9994           51.2          0.817
          52000       0.120699            123         0.9994           52.2          0.816
          53000       0.124194            127         0.9994           53.2          0.815
          54000       0.127391            133         0.9994           54.1          0.813
          55000       0.130861            137         0.9994           55.2          0.812
          56000       0.134294            141         0.9993           56.1          0.810
          57000       0.138873            147         0.9993           57.1          0.809
          58000       0.142049            151         0.9993           58.1          0.810
          59000       0.145727            155         0.9993           59.1          0.808
          60000       0.149276            159         0.9993           60.1          0.808
          61000       0.152803            160         0.9992           61.1          0.810
          62000       0.156225            165         0.9992           62.1          0.813
          63000       0.160275            168         0.9992           63.1          0.813
          64000       0.163359            171         0.9992           64.0          0.812
          65000       0.165354            172         0.9992           65.0          0.813
          66000       0.167822            175         0.9992           66.0          0.812
          67000       0.169930            176         0.9992           67.0          0.814
          68000       0.173512            180         0.9992           68.0          0.818
          69000       0.175967            180         0.9992           68.9          0.820
          70000       0.181298            181         0.9992           69.9          0.817
          71000       0.184026            184         0.9992           70.9          0.814
          72000       0.188074            187         0.9991           71.9          0.814
          73000       0.191024            190         0.9991           72.9          0.813
          74000       0.195321            198         0.9991           73.9          0.814
          75000       0.198485            201         0.9991           74.9          0.810
          76000       0.201328            207         0.9991           75.8          0.806
          77000       0.203824            210         0.9991           76.8          0.806
