KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.002023              1         1.0000            0.8          0.818
           2000       0.006042              4         1.0000            1.7          0.817
           3000       0.007548              5         1.0000            2.7          0.817
           4000       0.008581              5         1.0000            3.6          0.817
           5000       0.009617              5         1.0000            4.5          0.817
           6000       0.010182              6         1.0000            5.4          0.818
           7000       0.011565              7         1.0000            6.3          0.818
           8000       0.012660             10         1.0000            7.2          0.817
           9000       0.014029             12         1.0000            8.1          0.818
          10000       0.015728             15         1.0000            9.1          0.819
          11000       0.016134             15         1.0000           10.0          0.818
          12000       0.016628             15         1.0000           10.9          0.818
          13000       0.017363             15         1.0000           11.8          0.819
          14000       0.018215             17         1.0000           12.7          0.818
          15000       0.020300             18         1.0000           13.6          0.820
          16000       0.023479             20         0.9999           14.5          0.819
          17000       0.025388             24         0.9999           15.4          0.821
          18000       0.030217             28         0.9999           16.4          0.822
          19000       0.033733             32         0.9998           17.3          0.825
          20000       0.035397             35         0.9998           18.2          0.826
          21000       0.038330             41         0.9998           19.1          0.826
          22000       0.042216             45         0.9998           20.0          0.827
          23000       0.044840             48         0.9998           21.0          0.833
          24000       0.047788             51         0.9998           21.9          0.834
          25000       0.051814             57         0.9998           22.9          0.835
          26000       0.053528             58         0.9997           23.9          0.838
          27000       0.057629             65         0.9997           24.8          0.844
          28000       0.061738             72         0.9997           25.8          0.844
          29000       0.064530             73         0.9997           26.7          0.842
          30000       0.067582             76         0.9997           27.6          0.845
          31000       0.069859             79         0.9997           28.6          0.844
          32000       0.074588             85         0.9997           29.5          0.845
          33000       0.078706             90         0.9996           30.5          0.844
          34000       0.080825             91         0.9996           31.5          0.845
          35000       0.085542             96         0.9996           32.4          0.855
          36000       0.088206             99         0.9996           33.4          0.862
          37000       0.090392            102         0.9996           34.4          0.872
          38000       0.092842            103         0.9996           35.3          0.874
          39000       0.094359            104         0.9996           36.2          0.874
          40000       0.097648            108         0.9996           37.1          0.877
          41000       0.099645            111         0.9996           38.2          0.876
          42000       0.101633            114         0.9996           39.1          0.877
          43000       0.106301            119         0.9995           40.1          0.874
          44000       0.108618            120         0.9995           41.0          0.863
          45000       0.111026            121         0.9995           41.9          0.881
          46000       0.114875            127         0.9995           43.0          0.873
          47000       0.117599            129         0.9995           43.9          0.859
          48000       0.120831            129         0.9995           44.9          0.856
          49000       0.122747            133         0.9994           45.8          0.855
          50000       0.126167            135         0.9994           46.8          0.855
          51000       0.129172            136         0.9994           47.7          0.859
          52000       0.133014            139         0.9994           48.6          0.859
          53000       0.136366            144         0.9994           49.5          0.848
          54000       0.140046            153         0.9994           50.5          0.841
          55000       0.142815            159         0.9994           51.4          0.839
          56000       0.146577            165         0.9994           52.4          0.848
          57000       0.149758            169         0.9993           53.3          0.866
          58000       0.151325            171         0.9993           54.2          0.857
          59000       0.153256            172         0.9993           55.2          0.871
          60000       0.156229            173         0.9993           56.1          0.884
          61000       0.160002            176         0.9993           57.1          0.878
          62000       0.163739            180         0.9993           58.1          0.858
          63000       0.167529            183         0.9993           59.0          0.857
          64000       0.171336            186         0.9993           60.0          0.881
          65000       0.176186            190         0.9994           60.9          0.861
          66000       0.179916            191         0.9994           61.9          0.858
          67000       0.182636            191         0.9994           62.8          0.858
          68000       0.185253            193         0.9994           63.8          0.873
          69000       0.188958            200         0.9993           64.7          0.869
          70000       0.191149            203         0.9993           65.7          0.873
          71000       0.195183            205         0.9993           66.6          0.864
          72000       0.197295            209         0.9993           67.6          0.863
          73000       0.200842            211         0.9993           68.6          0.880
          74000       0.204311            213         0.9993           69.5          0.884
          75000       0.207177            215         0.9993           70.5          0.878
