KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.002018              1         1.0000            0.8          0.437
           2000       0.002891              2         1.0000            1.7          0.438
           3000       0.004516              3         1.0000            2.6          0.438
           4000       0.004985              5         1.0000            3.5          0.438
           5000       0.007603              7         1.0000            4.5          0.439
           6000       0.009646              9         1.0000            5.4          0.439
           7000       0.013024             10         1.0000            6.3          0.441
           8000       0.016684             14         1.0000            7.2          0.441
           9000       0.018544             15         1.0000            8.1          0.441
          10000       0.020746             17         1.0000            9.0          0.441
          11000       0.025384             19         1.0000           10.0          0.440
          12000       0.028792             21         0.9999           10.9          0.442
          13000       0.034572             25         0.9998           11.8          0.445
          14000       0.037247             27         0.9997           12.8          0.449
          15000       0.039040             30         0.9997           13.7          0.449
          16000       0.039905             31         0.9997           14.6          0.451
          17000       0.043760             35         0.9998           15.5          0.454
          18000       0.044700             37         0.9998           16.4          0.458
          19000       0.045268             38         0.9998           17.3          0.458
          20000       0.049790             42         0.9998           18.3          0.461
          21000       0.052038             45         0.9998           19.2          0.462
          22000       0.052691             46         0.9998           20.1          0.462
          23000       0.055536             47         0.9998           21.0          0.463
          24000       0.056999             48         0.9998           22.0          0.463
          25000       0.059678             52         0.9998           22.9          0.464
          26000       0.062829             54         0.9998           23.8          0.463
