KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 650
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.001366              1         1.0000            1.9          0.025
           2000       0.001753              1         1.0000            4.0          0.025
           3000       0.002140              1         1.0000            6.0          0.025
           4000       0.002527              1         1.0000            8.1          0.025
           5000       0.002914              1         1.0000           10.1          0.025
           6000       0.003301              1         1.0000           12.2          0.025
           7000       0.003687              1         1.0000           14.2          0.025
           8000       0.004023              2         1.0000           16.3          0.025
           9000       0.004216              2         1.0000           18.3          0.025
          10000       0.004410              2         1.0000           20.4          0.025
          11000       0.005799              3         1.0000           22.4          0.055
          12000       0.007449              4         0.9999           24.4          0.094
          13000       0.007987              6         0.9999           26.5          0.151
          14000       0.008630              8         0.9999           28.5          0.171
          15000       0.008831              8         0.9999           30.5          0.153
          16000       0.009023              8         0.9999           32.5          0.169
          17000       0.009461              9         0.9999           34.6          0.130
          18000       0.009662             10         0.9999           36.6          0.132
          19000       0.010301             12         0.9999           38.6          0.160
          20000       0.011346             13         0.9999           40.6          0.159
          21000       0.011893             13         1.0000           42.6          0.144
          22000       0.013191             14         1.0000           44.6          0.210
          23000       0.013849             16         1.0000           46.6          0.201
          24000       0.014307             16         1.0000           48.6          0.212
          25000       0.015261             16         1.0000           50.5          0.171
          26000       0.015843             18         1.0000           52.5          0.199
          27000       0.016876             18         0.9999           54.5          0.188
          28000       0.018043             21         0.9999           56.4          0.200
