KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 800
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.001022              1         1.0000            1.9          0.025
           2000       0.001063              1         1.0000            4.0          0.025
           3000       0.001105              1         1.0000            6.0          0.025
           4000       0.001146              1         1.0000            8.1          0.025
           5000       0.001188              1         1.0000           10.2          0.025
           6000       0.001229              1         1.0000           12.2          0.025
           7000       0.001271              1         1.0000           14.3          0.025
           8000       0.001312              1         1.0000           16.3          0.025
           9000       0.001354              1         1.0000           18.4          0.025
          10000       0.001395              1         1.0000           20.4          0.025
          11000       0.001436              1         1.0000           22.5          0.025
          12000       0.001478              1         1.0000           24.5          0.025
          13000       0.001511              2         1.0000           26.6          0.025
          14000       0.001532              2         1.0000           28.7          0.025
          15000       0.001553              2         1.0000           30.7          0.025
          16000       0.001587              2         1.0000           32.7          0.025
          17000       0.001640              2         0.9999           34.8          0.025
          18000       0.001720              2         0.9999           36.8          0.025
          19000       0.001786              2         0.9999           38.9          0.025
          20000       0.001820              2         0.9999           40.9          0.025
          21000       0.001841              2         1.0000           43.0          0.025
          22000       0.001861              2         1.0000           45.0          0.025
          23000       0.001882              2         1.0000           47.1          0.025
          24000       0.001944              3         1.0000           49.1          0.025
          25000       0.002022              3         1.0000           51.2          0.054
          26000       0.002096              3         1.0000           53.2          0.025
          27000       0.002126              3         1.0000           55.2          0.054
          28000       0.002147              3         1.0000           57.3          0.025
          29000       0.002161              3         1.0000           59.3          0.025
          30000       0.002266              3         1.0000           61.3          0.055
          31000       0.002297              3         1.0000           63.4          0.026
          32000       0.002311              3         1.0000           65.4          0.025
          33000       0.002325              3         1.0000           67.5          0.025
          34000       0.002341              3         1.0000           69.5          0.054
          35000       0.002363              3         1.0000           71.6          0.054
          36000       0.002408              3         1.0000           73.6          0.054
          37000       0.002484              4         1.0000           75.6          0.095
          38000       0.002521              4         1.0000           77.7          0.058
          39000       0.002559              4         1.0000           79.7          0.094
          40000       0.002630              4         1.0000           81.7          0.095
          41000       0.002659              4         1.0000           83.7          0.025
          42000       0.002700              4         1.0000           85.8          0.095
          43000       0.002785              4         1.0000           87.7          0.095
          44000       0.002850              4         1.0000           89.8          0.094
          45000       0.002877              5         1.0000           91.8          0.094
          46000       0.002918              5         1.0000           93.8          0.058
          47000       0.002950              5         1.0000           95.9          0.054
          48000       0.002976              5         1.0000           97.9          0.054
