=============================================================== 

as [A] =           2.71500 
ag [A] =           2.83000 
al [A] =           2.86833 
skl [eV/A/A] =          2.15025 
skd [eV/A/A] =          1.07513 
mu [A] =           0.04236 
D [1/s]=        5.19588E+12 
E [eV] =            0.53000 
gamma [eV] =         0.40000 
nx=    500 
ny=    80 
nsurf= 32 
irange_min = 10 
irange_max = 10 
time_fluence [s] =           8.000 
time_simulation [s] =         100.000 
k_max_step= 8 
f_deposition [ML/s]=           0.080 
temperature [K] =             600 
================================================================ 

iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      1000        0.002270       3        0.9980   (         2.2)         0.054
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      2000        0.003185       5        0.9975   (         4.6)         0.054
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      3000        0.003788       6        0.9983   (         7.1)         0.055
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      4000        0.004587       6        0.9985   (         9.6)         0.094
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      5000        0.005042       7        0.9988   (        12.1)         0.127
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      6000        0.005865       7        0.9988   (        14.5)         0.206
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      7000        0.006377      10        0.9990   (        17.0)         0.127
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      8000        0.008896      12        0.9991   (        19.5)         0.171
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =      9000        0.011276      15        0.9990   (        21.9)         0.171
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     10000        0.011872      15        0.9990   (        24.4)         0.242
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     11000        0.012755      16        0.9991   (        26.8)         0.239
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     12000        0.014188      17        0.9992   (        29.3)         0.230
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     13000        0.017372      21        0.9992   (        31.7)         0.253
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     14000        0.022283      25        0.9991   (        34.1)         0.215
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     15000        0.023339      25        0.9991   (        36.6)         0.306
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     16000        0.025369      27        0.9991   (        39.1)         0.369
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     17000        0.027140      28        0.9991   (        41.5)         0.209
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     18000        0.028578      31        0.9991   (        43.9)         0.225
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     19000        0.033391      35        0.9989   (        46.3)         0.238
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =     20000        0.036215      38        0.9990   (        48.7)         0.248
