KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 250
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.009843              5         1.0000            1.3          0.126
           2000       0.014089              8         1.0000            2.6          0.188
           3000       0.016960             10         1.0000            3.6          0.212
           4000       0.018846             13         1.0000            4.4          0.222
           5000       0.026127             15         1.0000            5.3          0.201
           6000       0.032666             19         0.9998            6.1          0.202
           7000       0.041835             28         0.9997            6.9          0.277
           8000       0.046074             31         0.9997            7.7          0.253
           9000       0.055369             32         0.9994            8.5          0.259
          10000       0.062225             35         0.9995            9.3          0.256
          11000       0.067224             37         0.9995           10.2          0.242
          12000       0.077031             38         0.9993           11.0          0.244
          13000       0.082855             38         0.9992           11.8          0.249
          14000       0.088695             42         0.9990           12.6          0.262
          15000       0.092439             45         0.9990           13.3          0.264
          16000       0.096937             48         0.9991           14.2          0.267
          17000       0.105077             54         0.9990           14.9          0.271
          18000       0.108818             59         0.9990           15.7          0.279
          19000       0.111243             61         0.9990           16.5          0.279
          20000       0.114959             61         0.9990           17.3          0.278
          21000       0.119358             63         0.9990           18.1          0.287
          22000       0.123651             65         0.9990           18.9          0.333
          23000       0.130780             68         0.9990           19.6          0.292
          24000       0.138529             70         0.9988           20.4          0.289
          25000       0.141867             74         0.9989           21.1          0.296
          26000       0.146554             76         0.9989           21.9          0.295
          27000       0.154369             80         0.9988           22.7          0.299
          28000       0.159640             81         0.9988           23.5          0.302
          29000       0.170652             85         0.9988           24.3          0.307
          30000       0.176347             89         0.9988           25.0          0.305
          31000       0.180238             90         0.9988           25.8          0.306
          32000       0.185050             92         0.9989           26.6          0.306
          33000       0.190492             95         0.9989           27.3          0.309
          34000       0.197712             99         0.9989           28.1          0.310
          35000       0.202903            100         0.9989           28.8          0.309
          36000       0.208410            105         0.9989           29.6          0.310
          37000       0.212535            106         0.9989           30.3          0.309
          38000       0.217652            109         0.9989           31.1          0.312
          39000       0.223669            112         0.9989           31.8          0.313
          40000       0.227439            115         0.9989           32.6          0.315
          41000       0.235141            121         0.9990           33.3          0.317
          42000       0.240138            123         0.9990           34.1          0.319
          43000       0.247492            124         0.9990           34.9          0.317
          44000       0.252375            127         0.9990           35.6          0.319
          45000       0.257217            130         0.9990           36.4          0.320
          46000       0.263753            136         0.9990           37.1          0.350
          47000       0.272401            144         0.9990           37.9          0.361
          48000       0.278498            150         0.9990           38.6          0.323
          49000       0.286193            155         0.9990           39.3          0.321
          50000       0.292666            156         0.9990           40.0          0.324
          51000       0.297158            156         0.9990           40.8          0.325
          52000       0.305651            159         0.9990           41.5          0.325
          53000       0.309684            164         0.9990           42.2          0.329
          54000       0.315239            168         0.9990           43.0          0.327
          55000       0.323338            172         0.9990           43.8          0.396
          56000       0.330052            175         0.9989           44.5          0.333
          57000       0.336485            182         0.9989           45.3          0.418
          58000       0.342779            183         0.9988           46.0          0.420
          59000       0.349750            187         0.9987           46.9          0.338
          60000       0.357172            190         0.9987           47.6          0.438
          61000       0.364048            193         0.9987           48.4          0.337
          62000       0.371692            196         0.9987           49.2          0.350
          63000       0.378668            198         0.9986           49.9          0.371
          64000       0.384243            199         0.9986           50.6          0.429
          65000       0.392123            201         0.9985           51.4          0.480
          66000       0.398080            207         0.9985           52.1          0.408
          67000       0.404275            209         0.9985           52.9          0.407
          68000       0.410035            212         0.9985           53.6          0.544
          69000       0.417055            215         0.9985           54.4          0.498
          70000       0.423648            220         0.9985           55.1          0.485
          71000       0.430304            223         0.9985           55.9          0.451
          72000       0.435736            228         0.9985           56.6          0.500
          73000       0.442169            230         0.9985           57.3          0.437
          74000       0.447812            231         0.9985           58.0          0.554
          75000       0.454506            232         0.9984           58.8          0.553
          76000       0.458026            234         0.9984           59.5          0.503
          77000       0.465340            241         0.9984           60.3          0.491
          78000       0.471445            243         0.9984           61.0          0.555
          79000       0.478803            247         0.9984           61.8          0.555
          80000       0.484733            249         0.9984           62.5          0.473
          81000       0.489812            255         0.9984           63.2          0.501
          82000       0.494013            257         0.9984           64.0          0.534
          83000       0.499380            259         0.9984           64.8          0.433
          84000       0.504644            266         0.9984           65.5          0.449
          85000       0.510799            268         0.9984           66.3          0.504
          86000       0.515514            274         0.9984           67.1          0.434
          87000       0.521009            278         0.9984           67.9          0.375
          88000       0.525552            280         0.9984           68.6          0.414
          89000       0.530502            283         0.9984           69.4          0.356
          90000       0.535860            284         0.9984           70.2          0.361
          91000       0.543519            293         0.9984           71.0          0.363
          92000       0.548027            296         0.9984           71.8          0.373
          93000       0.551969            297         0.9984           72.6          0.473
          94000       0.555346            297         0.9984           73.4          0.526
          95000       0.558229            298         0.9984           74.2          0.484
          96000       0.561074            300         0.9984           75.0          0.487
          97000       0.567643            303         0.9984           75.7          0.536
          98000       0.577205            306         0.9984           76.5          0.538
          99000       0.586469            311         0.9983           77.2          0.412
         100000       0.591956            314         0.9983           78.0          0.454
         101000       0.600367            316         0.9983           78.8          0.383
         102000       0.604388            318         0.9983           79.5          0.361
         103000       0.608127            319         0.9983           80.4          0.369
         104000       0.614619            325         0.9983           81.1          0.370
         105000       0.619532            327         0.9983           81.9          0.370
         106000       0.630615            333         0.9983           82.7          0.406
         107000       0.638495            335         0.9983           83.6          0.394
         108000       0.644916            337         0.9982           84.4          0.361
         109000       0.648800            337         0.9983           85.2          0.446
         110000       0.657416            345         0.9982           86.1          0.424
         111000       0.666176            349         0.9982           86.8          0.470
         112000       0.674372            353         0.9982           87.6          0.385
         113000       0.679549            355         0.9982           88.4          0.477
         114000       0.687757            357         0.9982           89.2          0.420
         115000       0.695264            360         0.9981           90.0          0.491
         116000       0.698857            360         0.9981           90.7          0.389
         117000       0.703326            361         0.9981           91.4          0.455
         118000       0.711503            363         0.9981           92.2          0.420
         119000       0.719357            367         0.9981           92.9          0.436
         120000       0.725729            370         0.9981           93.7          0.454
         121000       0.733729            376         0.9981           94.4          0.478
         122000       0.741158            376         0.9981           95.2          0.610
         123000       0.749385            380         0.9980           95.9          0.510
         124000       0.757639            382         0.9980           96.6          0.504
         125000       0.764097            386         0.9980           97.4          0.437
         126000       0.766760            388         0.9980           98.2          0.483
         127000       0.774408            393         0.9980           98.9          0.564
         128000       0.782860            399         0.9980           99.7          0.621
         129000       0.789209            401         0.9980          100.4          0.689
         130000       0.798477            407         0.9980          101.1          0.581
         131000       0.805452            411         0.9979          101.8          0.621
         132000       0.812251            416         0.9979          102.6          0.677
         133000       0.818374            421         0.9979          103.4          0.587
         134000       0.824788            424         0.9979          104.1          0.616
         135000       0.829777            426         0.9979          104.9          0.645
         136000       0.835497            429         0.9979          105.6          0.636
         137000       0.839774            434         0.9979          106.5          0.654
         138000       0.845908            438         0.9979          107.2          0.568
         139000       0.853231            441         0.9978          107.9          0.682
         140000       0.858962            443         0.9978          108.7          0.611
         141000       0.865130            445         0.9978          109.5          0.607
         142000       0.872598            454         0.9978          110.2          0.556
         143000       0.879739            455         0.9978          111.0          0.652
         144000       0.886582            458         0.9978          111.7          0.615
         145000       0.892443            463         0.9978          112.5          0.609
         146000       0.900407            465         0.9978          113.3          0.620
         147000       0.906761            470         0.9978          114.1          0.567
         148000       0.912306            471         0.9978          114.9          0.673
         149000       0.919282            476         0.9977          115.6          0.632
         150000       0.925869            479         0.9977          116.3          0.662
         151000       0.930717            483         0.9977          117.1          0.518
         152000       0.936130            484         0.9977          117.8          0.509
         153000       0.943116            489         0.9977          118.6          0.643
         154000       0.949108            492         0.9977          119.4          0.674
         155000       0.957582            494         0.9977          120.2          0.654
         156000       0.962603            497         0.9977          120.9          0.512
         157000       0.970355            501         0.9977          121.7          0.613
         158000       0.975758            505         0.9977          122.4          0.654
         159000       0.982599            511         0.9977          123.1          0.600
         160000       0.989122            514         0.9977          123.9          0.665
         161000       0.996060            515         0.9976          124.6          0.622
         162000       1.001838            518         0.9976          125.4          0.657
         163000       1.009100            521         0.9976          126.2          0.823
         164000       1.015538            522         0.9976          127.0          0.752
         165000       1.020772            522         0.9976          127.7          0.702
         166000       1.028278            524         0.9976          128.5          0.699
         167000       1.035108            525         0.9976          129.2          0.782
         168000       1.041717            528         0.9976          130.0          0.804
         169000       1.048845            533         0.9975          130.8          0.759
         170000       1.056515            538         0.9975          131.5          0.635
         171000       1.061513            541         0.9975          132.3          0.723
         172000       1.068835            543         0.9975          133.1          0.777
         173000       1.077474            546         0.9975          133.8          0.623
         174000       1.084181            551         0.9975          134.5          0.843
         175000       1.091691            552         0.9975          135.3          0.742
         176000       1.099681            554         0.9975          136.0          0.713
         177000       1.106143            558         0.9974          136.8          0.641
         178000       1.112213            558         0.9974          137.5          0.598
         179000       1.119123            563         0.9974          138.3          0.669
         180000       1.123269            564         0.9974          139.0          0.656
         181000       1.128485            568         0.9974          139.8          0.647
         182000       1.135063            570         0.9974          140.6          0.807
         183000       1.143580            574         0.9973          141.3          0.765
         184000       1.151649            580         0.9973          142.1          0.803
         185000       1.160124            583         0.9973          142.9          0.722
         186000       1.166769            587         0.9973          143.7          0.725
         187000       1.172801            590         0.9973          144.5          0.736
         188000       1.177801            592         0.9973          145.2          0.717
         189000       1.183438            596         0.9973          146.0          0.723
         190000       1.190472            598         0.9973          146.8          0.806
         191000       1.197682            600         0.9973          147.6          0.646
         192000       1.204496            603         0.9973          148.3          0.789
         193000       1.210706            607         0.9972          149.1          0.729
         194000       1.215077            607         0.9972          149.9          0.797
         195000       1.221236            610         0.9972          150.6          0.749
         196000       1.229299            611         0.9972          151.4          0.674
         197000       1.238080            614         0.9972          152.1          0.592
         198000       1.243846            616         0.9972          152.9          0.724
         199000       1.247584            618         0.9972          153.7          0.650
         200000       1.250672            619         0.9972          154.5          0.697
         201000       1.256020            620         0.9972          155.3          0.710
         202000       1.262895            624         0.9972          156.1          0.630
         203000       1.268869            629         0.9972          156.9          0.631
         204000       1.275716            629         0.9972          157.6          0.622
         205000       1.284839            632         0.9972          158.3          0.699
         206000       1.291686            637         0.9972          159.1          0.731
         207000       1.297367            642         0.9972          159.8          0.745
         208000       1.303094            645         0.9972          160.6          0.694
