KMC 1+1 simulation started

Simulation parameters:
=====================================================
       substrate_lattice_constant [A] = 2.71500
          adatom_lattice_constant [A] = 2.83000
             vertical_lat_spacing [A] = 2.86833
      spring_const_neighbors [eV/A/A] = 2.15025
 spring_const_next_neighbors [eV/A/A] = 1.07513
                     misfit_coeff [A] = 0.04236
                              D [1/s] = 5.19588e+12
                               E [eV] = 0.53000
                     bond_energy [eV] = 0.40000
                               grid_x = 500
                               grid_y = 80
                     substrate_height = 16
           local_relaxation_range_min = 10
           local_relaxation_range_max = 10
                     time_fluence [s] = 8.000
                  simulation_time [s] = 2.000
                      diffusion_range = 8
              deposition_speed [ML/s] = 0.080
                      temperature [K] = 600
=====================================================

           iter       sim_time      new_atoms         pr_acc   real_time[s]        duv_max
           1000       0.001990              3         1.0000            2.3          0.055
           2000       0.004290              5         1.0000            4.1          0.056
           3000       0.007895              7         1.0000            5.9          0.095
           4000       0.008709              7         1.0000            7.6          0.096
           5000       0.010950             10         1.0000            9.4          0.128
           6000       0.014475             14         0.9998           11.2          0.169
           7000       0.015885             17         0.9999           12.9          0.174
           8000       0.017241             17         0.9999           14.6          0.170
           9000       0.018918             19         0.9999           16.3          0.172
          10000       0.019356             20         0.9999           18.1          0.173
          11000       0.020983             21         0.9998           19.8          0.172
          12000       0.024436             25         0.9997           21.5          0.188
          13000       0.027914             27         0.9998           23.1          0.186
          14000       0.030751             29         0.9998           24.8          0.204
          15000       0.033375             30         0.9998           26.5          0.220
          16000       0.035327             33         0.9998           28.1          0.235
          17000       0.036874             34         0.9998           29.8          0.231
          18000       0.040057             36         0.9998           31.5          0.237
          19000       0.046012             40         0.9997           33.2          0.233
          20000       0.047570             43         0.9997           35.0          0.231
          21000       0.050326             47         0.9997           37.1          0.222
          22000       0.052880             50         0.9997           38.8          0.233
          23000       0.057805             54         0.9997           40.5          0.245
          24000       0.062193             58         0.9997           42.2          0.245
          25000       0.063122             59         0.9997           43.9          0.245
          26000       0.065140             61         0.9997           45.6          0.246
          27000       0.066602             65         0.9997           47.3          0.250
          28000       0.068591             68         0.9997           49.0          0.255
          29000       0.073113             70         0.9997           50.7          0.255
          30000       0.074927             70         0.9996           52.5          0.252
          31000       0.076643             71         0.9996           54.3          0.250
          32000       0.080643             75         0.9997           56.0          0.252
          33000       0.083425             76         0.9996           57.7          0.255
          34000       0.085432             78         0.9996           59.4          0.264
          35000       0.089950             81         0.9997           61.0          0.267
          36000       0.093957             84         0.9996           62.8          0.274
          37000       0.098150             88         0.9996           64.5          0.276
          38000       0.100789             90         0.9996           66.3          0.277
          39000       0.104824             94         0.9996           68.1          0.276
          40000       0.107560             96         0.9996           69.8          0.276
          41000       0.111147            104         0.9996           71.5          0.281
          42000       0.113929            106         0.9996           73.2          0.280
          43000       0.117791            112         0.9996           75.0          0.280
          44000       0.119872            114         0.9996           76.7          0.284
          45000       0.121820            119         0.9996           78.4          0.290
          46000       0.124612            122         0.9996           80.2          0.292
          47000       0.126501            124         0.9996           81.9          0.295
          48000       0.129321            128         0.9996           83.7          0.298
          49000       0.132998            134         0.9996           85.5          0.299
          50000       0.137111            141         0.9995           87.2          0.298
          51000       0.140402            146         0.9995           88.9          0.299
          52000       0.142477            150         0.9995           90.6          0.299
          53000       0.144819            150         0.9995           92.4          0.298
          54000       0.149702            155         0.9995           94.2          0.298
          55000       0.152958            160         0.9995           95.9          0.298
          56000       0.155936            165         0.9994           97.7          0.290
          57000       0.160031            169         0.9994           99.4          0.297
          58000       0.162582            171         0.9994          101.2          0.297
          59000       0.165641            176         0.9994          103.0          0.298
          60000       0.168824            179         0.9993          104.7          0.300
          61000       0.170842            179         0.9993          106.5          0.304
          62000       0.173979            188         0.9993          108.2          0.302
          63000       0.177203            195         0.9993          109.9          0.299
          64000       0.180793            198         0.9993          111.7          0.300
          65000       0.185281            203         0.9993          113.5          0.349
          66000       0.189451            207         0.9993          115.3          0.326
          67000       0.193298            209         0.9993          117.0          0.333
          68000       0.196110            210         0.9992          118.7          0.339
          69000       0.200706            216         0.9992          120.4          0.320
          70000       0.203986            220         0.9992          122.2          0.316
          71000       0.206700            222         0.9992          124.0          0.311
          72000       0.210730            223         0.9992          125.8          0.313
          73000       0.213365            224         0.9992          127.7          0.312
          74000       0.217174            228         0.9991          129.4          0.359
          75000       0.221368            232         0.9991          131.3          0.315
          76000       0.224416            234         0.9991          133.1          0.319
          77000       0.227755            238         0.9991          134.9          0.315
          78000       0.230270            246         0.9991          136.6          0.318
          79000       0.234015            249         0.9991          138.4          0.345
          80000       0.236991            252         0.9990          140.1          0.371
          81000       0.240777            261         0.9990          141.9          0.372
          82000       0.244178            266         0.9990          143.7          0.389
          83000       0.248642            269         0.9990          145.4          0.459
          84000       0.252474            271         0.9989          147.2          0.456
          85000       0.256151            272         0.9989          149.0          0.400
          86000       0.258993            274         0.9989          150.7          0.354
          87000       0.262239            276         0.9989          152.5          0.386
          88000       0.265737            279         0.9989          154.3          0.381
          89000       0.268994            285         0.9989          156.1          0.369
          90000       0.272152            285         0.9989          157.8          0.340
          91000       0.274876            288         0.9989          159.5          0.306
          92000       0.278117            290         0.9988          161.2          0.315
          93000       0.281905            299         0.9988          163.0          0.313
          94000       0.285395            303         0.9988          164.7          0.311
          95000       0.288046            306         0.9988          166.5          0.320
          96000       0.291737            307         0.9988          168.3          0.335
          97000       0.295082            310         0.9988          170.1          0.328
          98000       0.297705            313         0.9987          171.8          0.406
          99000       0.301266            315         0.9988          173.7          0.332
         100000       0.303461            318         0.9987          175.5          0.332
         101000       0.306284            320         0.9987          177.3          0.336
         102000       0.309646            323         0.9987          179.0          0.344
         103000       0.314286            326         0.9987          180.8          0.339
         104000       0.316910            330         0.9987          182.6          0.348
         105000       0.320430            332         0.9987          184.4          0.349
         106000       0.324520            334         0.9986          186.3          0.344
         107000       0.329184            340         0.9986          188.2          0.338
         108000       0.333643            341         0.9986          189.9          0.408
         109000       0.337333            345         0.9986          191.6          0.357
         110000       0.340924            347         0.9985          193.4          0.408
         111000       0.343599            349         0.9985          195.2          0.367
         112000       0.346554            353         0.9985          197.0          0.380
         113000       0.349593            356         0.9985          198.8          0.447
         114000       0.353182            361         0.9985          200.6          0.443
         115000       0.356614            363         0.9985          202.4          0.423
         116000       0.360001            366         0.9985          204.2          0.414
         117000       0.362476            370         0.9985          206.0          0.408
         118000       0.366510            371         0.9985          207.8          0.322
         119000       0.369449            373         0.9984          209.6          0.385
         120000       0.372352            379         0.9984          211.3          0.354
         121000       0.375104            383         0.9984          213.1          0.433
         122000       0.379448            386         0.9984          214.9          0.363
         123000       0.382477            390         0.9984          216.7          0.388
         124000       0.384853            394         0.9984          218.4          0.431
         125000       0.387853            395         0.9984          220.2          0.353
         126000       0.390720            396         0.9984          221.9          0.376
         127000       0.392900            399         0.9984          223.6          0.367
         128000       0.395579            402         0.9983          225.4          0.429
         129000       0.399178            405         0.9983          227.2          0.445
         130000       0.404343            411         0.9983          229.0          0.465
         131000       0.408328            415         0.9983          230.7          0.458
         132000       0.411209            417         0.9983          232.5          0.348
         133000       0.414070            421         0.9983          234.4          0.422
         134000       0.417807            422         0.9983          236.2          0.379
         135000       0.420215            422         0.9983          238.0          0.366
         136000       0.422412            426         0.9983          239.8          0.413
         137000       0.426383            431         0.9983          241.5          0.387
         138000       0.429578            435         0.9983          243.3          0.390
         139000       0.431084            437         0.9983          245.1          0.419
         140000       0.435001            444         0.9983          246.9          0.448
         141000       0.439284            451         0.9983          248.8          0.354
         142000       0.442171            456         0.9983          250.6          0.369
         143000       0.445347            460         0.9982          252.4          0.454
         144000       0.448670            464         0.9982          254.3          0.387
         145000       0.452152            466         0.9982          256.0          0.435
         146000       0.454910            467         0.9982          257.9          0.384
         147000       0.457533            473         0.9982          259.7          0.443
         148000       0.461512            474         0.9982          261.5          0.470
         149000       0.464657            478         0.9982          263.3          0.451
         150000       0.467582            483         0.9981          265.0          0.452
         151000       0.472029            487         0.9981          266.8          0.435
         152000       0.475447            491         0.9981          268.6          0.388
         153000       0.477907            495         0.9981          270.7          0.405
         154000       0.481544            497         0.9981          272.5          0.446
         155000       0.484970            500         0.9981          274.3          0.459
         156000       0.488639            502         0.9981          276.1          0.450
         157000       0.492266            504         0.9981          277.9          0.452
         158000       0.496393            507         0.9981          279.7          0.412
         159000       0.499733            513         0.9981          281.5          0.380
         160000       0.502011            516         0.9981          283.3          0.467
         161000       0.504501            519         0.9981          285.1          0.496
         162000       0.508113            522         0.9981          286.8          0.453
         163000       0.511538            524         0.9981          288.6          0.501
         164000       0.515224            531         0.9981          290.4          0.492
         165000       0.519530            536         0.9981          292.1          0.450
         166000       0.522302            540         0.9981          294.1          0.489
         167000       0.525175            544         0.9981          295.8          0.490
         168000       0.527646            545         0.9980          297.6          0.473
         169000       0.530556            546         0.9981          299.4          0.500
         170000       0.533169            548         0.9980          301.1          0.502
         171000       0.535844            551         0.9980          302.9          0.451
         172000       0.538231            552         0.9980          304.7          0.402
         173000       0.541590            556         0.9981          306.7          0.500
         174000       0.543680            557         0.9981          308.5          0.454
         175000       0.547086            558         0.9981          310.3          0.454
         176000       0.550613            559         0.9980          312.1          0.506
         177000       0.553452            563         0.9980          313.9          0.506
         178000       0.557404            566         0.9980          315.7          0.504
         179000       0.560616            569         0.9980          317.5          0.460
         180000       0.563359            572         0.9980          319.3          0.512
         181000       0.567343            573         0.9980          321.1          0.508
         182000       0.571173            576         0.9980          322.9          0.430
         183000       0.574421            579         0.9980          324.6          0.450
         184000       0.577097            583         0.9980          326.4          0.500
         185000       0.580425            585         0.9980          328.2          0.510
         186000       0.583051            586         0.9980          330.1          0.500
         187000       0.585492            587         0.9980          331.8          0.509
         188000       0.588430            589         0.9980          333.6          0.436
         189000       0.591195            593         0.9980          335.5          0.511
         190000       0.593505            595         0.9980          337.3          0.467
         191000       0.596640            598         0.9980          339.0          0.438
         192000       0.600429            600         0.9979          340.8          0.504
         193000       0.603627            602         0.9979          342.5          0.468
         194000       0.607335            610         0.9979          344.3          0.470
         195000       0.609746            614         0.9979          346.1          0.426
         196000       0.613119            615         0.9979          347.9          0.491
         197000       0.615849            620         0.9979          349.7          0.503
         198000       0.619621            621         0.9979          351.5          0.444
         199000       0.622691            624         0.9979          353.3          0.494
         200000       0.626325            626         0.9979          355.2          0.444
         201000       0.629918            630         0.9979          357.0          0.465
         202000       0.633707            632         0.9979          358.8          0.524
         203000       0.636837            634         0.9979          360.6          0.514
         204000       0.639729            640         0.9979          362.4          0.590
         205000       0.642930            644         0.9979          364.2          0.583
         206000       0.645565            648         0.9978          366.0          0.586
         207000       0.648932            650         0.9978          367.8          0.591
         208000       0.652492            653         0.9978          369.7          0.606
         209000       0.655452            655         0.9978          371.5          0.574
         210000       0.658350            658         0.9978          373.3          0.538
         211000       0.661790            661         0.9978          375.1          0.525
         212000       0.665842            664         0.9978          376.9          0.509
         213000       0.669571            669         0.9978          378.6          0.551
         214000       0.672860            673         0.9978          380.3          0.631
         215000       0.675691            677         0.9978          382.2          0.591
         216000       0.677676            679         0.9978          383.9          0.522
         217000       0.680205            683         0.9978          385.7          0.533
         218000       0.683130            686         0.9978          387.5          0.558
         219000       0.686349            689         0.9978          389.4          0.523
         220000       0.689701            692         0.9978          391.2          0.509
         221000       0.692780            697         0.9978          392.9          0.499
         222000       0.695498            700         0.9978          394.7          0.608
         223000       0.697728            705         0.9978          396.5          0.643
         224000       0.701341            709         0.9978          398.3          0.585
         225000       0.704415            711         0.9978          400.1          0.597
         226000       0.707639            712         0.9978          401.9          0.650
         227000       0.712226            719         0.9977          403.7          0.575
         228000       0.716021            723         0.9977          405.5          0.596
         229000       0.719310            725         0.9977          407.3          0.680
         230000       0.721816            727         0.9977          409.1          0.606
         231000       0.723945            729         0.9977          411.0          0.600
         232000       0.726919            732         0.9977          412.7          0.660
         233000       0.730122            734         0.9977          414.6          0.649
         234000       0.733060            738         0.9977          416.4          0.719
         235000       0.736738            746         0.9977          418.2          0.682
         236000       0.739345            748         0.9977          420.1          0.684
         237000       0.742385            749         0.9977          421.9          0.633
         238000       0.746840            759         0.9976          423.6          0.681
         239000       0.749642            762         0.9976          425.5          0.736
         240000       0.753128            766         0.9976          427.3          0.671
         241000       0.756620            767         0.9976          429.2          0.666
